Device Name,Date (dd/mm/yyyy),Time (24hrs),Average RMS Current (A),Peak RMS Current (A)
MCMD 01,8/2/2021,14:39:19,95,156
MCMD 01,8/2/2021,14:39:20,95,156
MCMD 01,8/2/2021,14:39:21,95,156
MCMD 01,8/2/2021,14:39:22,95,156
MCMD 01,8/2/2021,14:39:23,95,156
MCMD 01,8/2/2021,14:39:24,95,156
MCMD 01,8/2/2021,14:39:25,95,156
MCMD 01,8/2/2021,14:39:26,95,156
MCMD 01,8/2/2021,14:39:27,95,156
MCMD 01,8/2/2021,14:39:28,95,156
MCMD 01,8/2/2021,14:39:29,95,156
MCMD 01,8/2/2021,14:39:30,95,156
MCMD 01,8/2/2021,14:39:31,95,156
MCMD 01,8/2/2021,14:39:32,95,156
MCMD 01,8/2/2021,14:39:33,95,156
MCMD 01,8/2/2021,14:39:34,95,156
MCMD 01,8/2/2021,14:39:35,95,156
MCMD 01,8/2/2021,14:39:36,95,156
MCMD 01,8/2/2021,14:39:37,95,156
MCMD 01,8/2/2021,14:39:38,95,156
MCMD 01,8/2/2021,14:39:39,95,156
MCMD 01,8/2/2021,14:39:40,95,156
MCMD 01,8/2/2021,14:39:42,95,156
MCMD 01,8/2/2021,14:39:43,95,156
MCMD 01,8/2/2021,14:39:44,95,156
MCMD 01,8/2/2021,14:39:45,95,156
MCMD 01,8/2/2021,14:39:46,95,156
MCMD 01,8/2/2021,14:39:47,95,156
MCMD 01,8/2/2021,14:39:48,95,156
MCMD 01,8/2/2021,14:39:49,95,156
MCMD 01,8/2/2021,14:39:50,95,156
MCMD 01,8/2/2021,14:39:51,95,156
MCMD 01,8/2/2021,14:39:52,95,156
MCMD 01,8/2/2021,14:39:53,95,156
MCMD 01,8/2/2021,14:39:54,95,156
MCMD 01,8/2/2021,14:39:55,95,156
MCMD 01,8/2/2021,14:39:56,95,156
MCMD 01,8/2/2021,14:39:57,95,156
MCMD 01,8/2/2021,14:39:58,95,156
MCMD 01,8/2/2021,14:39:59,95,156
MCMD 01,8/2/2021,14:40:00,95,156
MCMD 01,8/2/2021,14:40:01,95,156
MCMD 01,8/2/2021,14:40:02,95,156
MCMD 01,8/2/2021,14:40:03,95,156
MCMD 01,8/2/2021,14:40:04,95,156
MCMD 01,8/2/2021,14:40:05,95,156
MCMD 01,8/2/2021,14:40:06,95,156
MCMD 01,8/2/2021,14:40:07,95,156
MCMD 01,8/2/2021,14:40:08,95,156
MCMD 01,8/2/2021,14:40:09,95,156
MCMD 01,8/2/2021,14:40:10,95,156
MCMD 01,8/2/2021,14:40:11,95,156
MCMD 01,8/2/2021,14:40:12,95,156
MCMD 01,8/2/2021,14:40:13,95,156
MCMD 01,8/2/2021,14:40:14,95,156
MCMD 01,8/2/2021,14:40:15,95,156
MCMD 01,8/2/2021,14:40:16,95,156
MCMD 01,8/2/2021,14:40:17,95,156
MCMD 01,8/2/2021,14:40:18,95,156
MCMD 01,8/2/2021,14:40:19,95,156
MCMD 01,8/2/2021,14:40:20,95,156
MCMD 01,8/2/2021,14:40:21,95,156
MCMD 01,8/2/2021,14:40:22,95,156
MCMD 01,8/2/2021,14:40:23,95,156
MCMD 01,8/2/2021,14:40:24,95,156
MCMD 01,8/2/2021,14:40:26,95,156
MCMD 01,8/2/2021,14:40:27,95,156
MCMD 01,8/2/2021,14:40:28,95,156
MCMD 01,8/2/2021,14:40:29,95,156
MCMD 01,8/2/2021,14:40:30,95,156
MCMD 01,8/2/2021,14:40:31,95,156
MCMD 01,8/2/2021,14:40:32,95,156
MCMD 01,8/2/2021,14:40:33,95,156
MCMD 01,8/2/2021,14:40:34,95,156
MCMD 01,8/2/2021,14:40:35,95,156
MCMD 01,8/2/2021,14:40:36,95,156
MCMD 01,8/2/2021,14:40:37,95,156
MCMD 01,8/2/2021,14:40:38,95,156
MCMD 01,8/2/2021,14:40:39,95,156
MCMD 01,8/2/2021,14:40:40,95,156
MCMD 01,8/2/2021,14:40:41,95,156
MCMD 01,8/2/2021,14:40:42,95,156
MCMD 01,8/2/2021,14:40:43,95,156
MCMD 01,8/2/2021,14:40:44,95,156
MCMD 01,8/2/2021,14:40:45,95,156
MCMD 01,8/2/2021,14:40:46,95,156
MCMD 01,8/2/2021,14:40:47,95,156
MCMD 01,8/2/2021,14:40:48,95,156
MCMD 01,8/2/2021,14:40:49,95,156
MCMD 01,8/2/2021,14:40:50,95,156
MCMD 01,8/2/2021,14:40:51,95,156
MCMD 01,8/2/2021,14:40:52,95,156
MCMD 01,8/2/2021,14:40:53,95,156
MCMD 01,8/2/2021,14:40:54,95,156
MCMD 01,8/2/2021,14:40:55,95,156
MCMD 01,8/2/2021,14:40:56,95,156
MCMD 01,8/2/2021,14:40:57,95,156
MCMD 01,8/2/2021,14:40:58,95,156
MCMD 01,8/2/2021,14:40:59,95,156
MCMD 01,8/2/2021,14:41:00,95,156
MCMD 01,8/2/2021,14:41:01,95,156
MCMD 01,8/2/2021,14:41:02,95,156
MCMD 01,8/2/2021,14:41:03,95,156
MCMD 01,8/2/2021,14:41:04,95,156
MCMD 01,8/2/2021,14:41:05,95,156
MCMD 01,8/2/2021,14:41:06,95,156
MCMD 01,8/2/2021,14:41:07,95,156
MCMD 01,8/2/2021,14:41:08,95,156
MCMD 01,8/2/2021,14:41:09,95,156
MCMD 01,8/2/2021,14:41:10,95,156
MCMD 01,8/2/2021,14:41:12,95,156
MCMD 01,8/2/2021,14:41:13,95,156
MCMD 01,8/2/2021,14:41:14,95,156
MCMD 01,8/2/2021,14:41:15,95,156
MCMD 01,8/2/2021,14:41:16,95,156
MCMD 01,8/2/2021,14:41:17,95,156
MCMD 01,8/2/2021,14:41:18,95,156
MCMD 01,8/2/2021,14:41:19,95,156
MCMD 01,8/2/2021,14:41:20,95,156
MCMD 01,8/2/2021,14:41:21,95,156
MCMD 01,8/2/2021,14:41:22,95,156
MCMD 01,8/2/2021,14:41:23,95,156
MCMD 01,8/2/2021,14:41:24,95,156
MCMD 01,8/2/2021,14:41:25,95,156
MCMD 01,8/2/2021,14:41:26,95,156
MCMD 01,8/2/2021,14:41:27,95,156
MCMD 01,8/2/2021,14:41:28,95,156
MCMD 01,8/2/2021,14:41:29,95,156
MCMD 01,8/2/2021,14:41:30,95,156
MCMD 01,8/2/2021,14:41:31,95,156
MCMD 01,8/2/2021,14:41:32,95,156
MCMD 01,8/2/2021,14:41:33,95,156
MCMD 01,8/2/2021,14:41:34,95,156
MCMD 01,8/2/2021,14:41:35,95,156
MCMD 01,8/2/2021,14:41:36,95,156
MCMD 01,8/2/2021,14:41:37,95,156
MCMD 01,8/2/2021,14:41:38,95,156
MCMD 01,8/2/2021,14:41:39,95,156
MCMD 01,8/2/2021,14:41:40,95,156
MCMD 01,8/2/2021,14:41:41,95,156
MCMD 01,8/2/2021,14:41:42,95,156
MCMD 01,8/2/2021,14:41:43,95,156
MCMD 01,8/2/2021,14:34:05,833.4,1002
MCMD 01,8/2/2021,14:34:10,95,156
MCMD 01,8/2/2021,14:34:11,95,156
MCMD 01,8/2/2021,14:34:12,95,156
MCMD 01,8/2/2021,14:34:13,95,156
MCMD 01,8/2/2021,14:34:14,95,156
MCMD 01,8/2/2021,14:34:15,95,156
MCMD 01,8/2/2021,14:34:16,95,156
MCMD 01,8/2/2021,14:34:17,95,156
MCMD 01,8/2/2021,14:34:18,95,156
MCMD 01,8/2/2021,14:34:19,95,156
MCMD 01,8/2/2021,14:34:20,95,156
MCMD 01,8/2/2021,14:34:21,95,156
MCMD 01,8/2/2021,14:34:22,95,156
MCMD 01,8/2/2021,14:34:23,95,156
MCMD 01,8/2/2021,14:34:24,95,156
MCMD 01,8/2/2021,14:34:25,95,156
MCMD 01,8/2/2021,14:34:26,95,156
MCMD 01,8/2/2021,14:34:27,95,156
MCMD 01,8/2/2021,14:34:28,95,156
MCMD 01,8/2/2021,14:34:29,95,156
MCMD 01,8/2/2021,14:34:31,95,156
MCMD 01,8/2/2021,14:34:32,95,156
MCMD 01,8/2/2021,14:34:33,95,156
MCMD 01,8/2/2021,14:34:34,95,156
MCMD 01,8/2/2021,14:34:35,95,156
MCMD 01,8/2/2021,14:34:36,95,156
MCMD 01,8/2/2021,14:34:37,95,156
MCMD 01,8/2/2021,14:34:38,95,156
MCMD 01,8/2/2021,14:34:39,95,156
MCMD 01,8/2/2021,14:34:40,95,156
MCMD 01,8/2/2021,14:34:41,95,156
MCMD 01,8/2/2021,14:34:42,95,156
MCMD 01,8/2/2021,14:34:43,95,156
MCMD 01,8/2/2021,14:34:44,95,156
MCMD 01,8/2/2021,14:34:45,95,156
MCMD 01,8/2/2021,14:34:46,95,156
MCMD 01,8/2/2021,14:34:47,95,156
MCMD 01,8/2/2021,14:34:48,95,156
MCMD 01,8/2/2021,14:34:49,95,156
MCMD 01,8/2/2021,14:34:50,95,156
MCMD 01,8/2/2021,14:34:51,95,156
MCMD 01,8/2/2021,14:34:52,95,156
MCMD 01,8/2/2021,14:34:53,95,156
MCMD 01,8/2/2021,14:34:54,95,156
MCMD 01,8/2/2021,14:34:55,95,156
MCMD 01,8/2/2021,14:34:56,95,156
MCMD 01,8/2/2021,14:34:57,95,156
MCMD 01,8/2/2021,14:34:58,95,156
MCMD 01,8/2/2021,14:34:59,95,156
MCMD 01,8/2/2021,14:35:00,95,156
MCMD 01,8/2/2021,14:35:01,95,156
MCMD 01,8/2/2021,14:35:02,95,156
MCMD 01,8/2/2021,14:35:03,95,156
MCMD 01,8/2/2021,14:35:04,95,156
MCMD 01,8/2/2021,14:35:05,95,156
MCMD 01,8/2/2021,14:35:06,95,156
MCMD 01,8/2/2021,14:35:07,95,156
MCMD 01,8/2/2021,14:35:08,95,156
MCMD 01,8/2/2021,14:35:09,95,156
MCMD 01,8/2/2021,14:35:10,95,156
MCMD 01,8/2/2021,14:35:11,95,156
MCMD 01,8/2/2021,14:35:12,95,156
MCMD 01,8/2/2021,14:35:13,95,156
MCMD 01,8/2/2021,14:35:14,95,156
MCMD 01,8/2/2021,14:35:15,95,156
MCMD 01,8/2/2021,14:35:16,95,156
MCMD 01,8/2/2021,14:35:17,95,156
MCMD 01,8/2/2021,14:35:19,95,156
MCMD 01,8/2/2021,14:35:20,95,156
